,year,month,global,northern,southern,bin
563,1926,12,-0.29,-0.29,-0.27,2
564,1927,1,-0.27,-0.28,-0.24,2
565,1927,2,-0.18,-0.08,-0.27,2
566,1927,3,-0.38,-0.46,-0.3,1
567,1927,4,-0.3,-0.27,-0.34,2
568,1927,5,-0.25,-0.12,-0.37,2
569,1927,6,-0.27,-0.13,-0.4,2
570,1927,7,-0.18,-0.07,-0.29,2
571,1927,8,-0.24,-0.16,-0.3,2
572,1927,9,-0.12,0.03,-0.26,2
573,1927,10,-0.01,0.24,-0.24,2
574,1927,11,-0.05,0.09,-0.18,2
575,1927,12,-0.33,-0.37,-0.25,1
576,1928,1,-0.01,0.27,-0.28,2
577,1928,2,-0.09,0.09,-0.26,2
578,1928,3,-0.25,-0.23,-0.26,2
579,1928,4,-0.27,-0.31,-0.23,2
580,1928,5,-0.29,-0.17,-0.41,2
581,1928,6,-0.38,-0.31,-0.43,1
582,1928,7,-0.19,-0.1,-0.28,2
583,1928,8,-0.22,-0.19,-0.25,2
584,1928,9,-0.21,-0.16,-0.26,2
